ortho	phon	lemme	cgram	genre	nombre	
primauté	pRimote	primauté	NOM	f	s	
roquets	RokE	roquet	NOM	m	p	
cubage	kybaZ	cubage	NOM	m	s	
bowling	buliG	bowling	NOM	m	s	
macédonienne	masedonjEn	macédonienne	NOM	f	s	
adopté	adOpte	adopté	NOM	m	s	
encre	@kR	encre	NOM	f	s	
pillages	pijaZ	pillage	NOM	m	p	
feelings	filiG	feeling	NOM	m	p	
avisos	avizo	aviso	NOM	m	p	
battages	bataZ	battage	NOM	m	p	
chaume	Som	chaume	NOM	m	s	
farces	faRs	farce	NOM	f	p	
enrouements	@Rum@	enrouement	NOM	m	p	
barbouillages	baRbujaZ	barbouillage	NOM	m	p	
nouba	nuba	nouba	NOM	f	s	
écarteur	ekaRt9R	écarteur	NOM	m	s	
cypriotes	sipRijOt	cypriote	NOM		p	
bernicles	bERnikl	bernicle	NOM	f	p	
recoins	R°kw5	recoin	NOM	m	p	
collyres	koliR	collyre	NOM	m	p	
bicot	biko	bicot	NOM	m	s	
couteaux	kuto	couteau	NOM	m	p	
fagotins	fagot5	fagotin	NOM	m	p	
jeteuse	Z°t2z	jeteur	NOM	f	s	
oursons	uRs§	ourson	NOM	m	p	
églogue	eglOg	églogue	NOM	f	s	
iconoclastes	ikonoklast	iconoclaste	NOM		p	
solucamphre	solyk@fR	solucamphre	NOM	m	s	
opossums	oposOm	opossum	NOM	m	p	
sapeur-pompier	sap9Rp§pje	sapeur-pompier	NOM	m	s	
contritions	k§tRisj§	contrition	NOM	f	p	
croisade	kRwazad	croisade	NOM	f	s	
cantilever	k@til°ve	cantilever	NOM	m	s	
poloche	pOlOS	poloche	NOM	f	s	
beaux-parents	bopaR@	beaux-parents	NOM	m	p	
rêveries	REv°Ri	rêverie	NOM	f	p	
palindromes	pal5dRom	palindrome	NOM	m	p	
pecorino	p°koRino	pecorino	NOM	m	s	
fréquences	fRek@s	fréquence	NOM	f	p	
intensification	5t@sifikasj§	intensification	NOM	f	s	
lysimaque	lizimak	lysimaque	NOM	f	s	
habits	abi	habit	NOM	m	p	
poster	pOste	poster	NOM	m	s	
bibelot	bib°lo	bibelot	NOM	m	s	
rencards	R@kaR	rencard	NOM	m	p	
augment	Ogm@	augment	NOM	m	s	
porte-bébé	pORtbebe	porte-bébé	NOM	m	s	
bandanas	b@dana	bandana	NOM	m	p	
